3.600000	8567665	8919272
3.616667	8567554	8919045
3.633333	8567503	8918726
3.650000	8567437	8918425
3.666667	8567305	8918125
3.683333	8567235	8917806
3.700000	8567116	8917510
3.716667	8567044	8917235
3.733333	8566995	8916921
3.750000	8566823	8916644
3.766667	8566773	8916337
3.783333	8566692	8916082
3.800000	8566625	8915795
3.816667	8566513	8915493
3.833333	8566408	8915131
3.850000	8566315	8914857
3.866667	8566282	8914574
3.883333	8566145	8914276
3.900000	8566104	8913922
3.916667	8566002	8913694
3.933333	8565886	8913346
3.950000	8565860	8913041
3.966667	8565750	8912779
3.983333	8565654	8912503
4.000000	8565546	8912243
4.016667	8565456	8911964
4.033333	8565364	8911586
4.050000	8565376	8911388
4.066667	8565231	8911017
4.083333	8565154	8910836
4.100000	8565056	8910453
4.116667	8565048	8910133
4.133333	8564894	8909887
4.150000	8564721	8909611
4.166667	8564734	8909277
4.183333	8564620	8908993
4.200000	8564552	8908711
4.216667	8564405	8908403
4.233333	8564325	8908131
4.250000	8564271	8907875
4.266667	8564171	8907556
4.283333	8564059	8907310
4.300000	8564020	8906985
4.316667	8563902	8906692
4.333333	8563843	8906467
4.350000	8563794	8906152
4.366667	8563677	8905883
4.383333	8563622	8905518
4.400000	8563520	8905305
4.416667	8563438	8904985
4.433333	8563295	8904727
4.450000	8563257	8904408
4.466667	8563118	8904142
4.483333	8563092	8903866
4.500000	8562953	8903577
4.516667	8562879	8903258
4.533333	8562861	8902992
4.550000	8562711	8902667
4.566667	8562623	8902402
4.583333	8562499	8902137
4.600000	8562431	8901891
4.616667	8562416	8901603
4.633333	8562342	8901296
4.650000	8562216	8901040
4.666667	8562116	8900754
4.683333	8562033	8900461
4.700000	8561947	8900231
4.716667	8561841	8899938
4.733333	8561759	8899629
4.750000	8561724	8899386
4.766667	8561624	8899106
4.783333	8561542	8898792
4.800000	8561473	8898477
4.816667	8561329	8898171
4.833333	8561297	8897983
4.850000	8561170	8897642
4.866667	8561069	8897361
4.883333	8561079	8897177
4.900000	8560948	8896850
4.916667	8560880	8896594
4.933333	8560721	8896327
4.950000	8560722	8896040
4.966667	8560586	8895737
4.983333	8560539	8895469
5.000000	8560448	8895247
5.016667	8560341	8894955
5.033333	8560252	8894671
5.050000	8560175	8894392
5.066667	8560087	8894082
5.083333	8560053	8893880
5.100000	8559978	8893574
5.116667	8559863	8893315
5.133333	8559773	8893042
5.150000	8559701	8892789
5.166667	8559587	8892530
5.183333	8559577	8892267
5.200000	8559482	8891979
5.216667	8559325	8891706
5.233333	8559337	8891454
5.250000	8559284	8891202
5.266667	8559095	8890853
5.283333	8559023	8890685
5.300000	8558911	8890364
5.316667	8558934	8890095
5.333333	8558812	8889846
5.350000	8558678	8889583
5.366667	8558649	8889310
5.383333	8558594	8889025
5.400000	8558481	8888755
5.416667	8558398	8888531
5.433333	8558317	8888270
5.450000	8558181	8888029
5.466667	8558168	8887761
5.483333	8558107	8887506
5.500000	8558005	8887204
5.516667	8557891	8886965
5.533333	8557840	8886638
5.550000	8557769	8886431
5.566667	8557692	8886171
5.583333	8557621	8885944
5.600000	8557476	8885659
5.616667	8557396	8885384
5.633333	8557280	8885104
5.650000	8557314	8884905
5.666667	8557196	8884641
5.683333	8557074	8884405
5.700000	8557032	8884087
5.716667	8556976	8883894
5.733333	8556858	8883638
5.750000	8556746	8883365
5.766667	8556729	8883118
5.783333	8556659	8882870
5.800000	8556631	8882587
5.816667	8556514	8882357
5.833333	8556384	8882105
5.850000	8556325	8881922
5.866667	8556283	8881615
5.883333	8556180	8881360
5.900000	8556150	8881119
5.916667	8556018	8880849
5.933333	8555945	8880580
5.950000	8555885	8880365
5.966667	8555760	8880086
5.983333	8555672	8879829
6.000000	8555638	8879610
6.016667	8555561	8879384
6.033333	8555512	8879137
6.050000	8555382	8878887
6.066667	8555310	8878655
6.083333	8555205	8878424
6.100000	8555185	8878198
6.116667	8555042	8877962
6.133333	8555069	8877691
6.150000	8554895	8877482
6.166667	8554851	8877265
6.183333	8554793	8876951
6.200000	8554725	8876731
6.216667	8554573	8876523
6.233333	8554562	8876287
6.250000	8554525	8875974
6.266667	8554441	8875765
6.283333	8554312	8875555
6.300000	8554306	8875285
6.316667	8554169	8875094
6.333333	8554115	8874865
6.350000	8554062	8874637
6.366667	8553991	8874392
6.383333	8553912	8874150
6.400000	8553836	8873905
6.416667	8553626	8873727
6.433333	8553662	8873438
6.450000	8553578	8873190
6.466667	8553466	8872994
6.483333	8553460	8872698
6.500000	8553370	8872545
6.516667	8553281	8872254
6.533333	8553199	8872083
6.550000	8553100	8871802
6.566667	8553048	8871549
6.583333	8553012	8871383
6.600000	8552965	8871095
6.616667	8552831	8870901
6.633333	8552775	8870695
6.650000	8552741	8870468
6.666667	8552644	8870233
6.683333	8552538	8869986
6.700000	8552464	8869837
6.716667	8552378	8869579
6.733333	8552346	8869395
6.750000	8552326	8869132
6.766667	8552219	8868917
6.783333	8552131	8868700
6.800000	8552063	8868496
6.816667	8552018	8868269
6.833333	8551925	8868084
6.850000	8551829	8867866
6.866667	8551795	8867662
6.883333	8551686	8867429
6.900000	8551581	8867217
6.916667	8551575	8866971
6.933333	8551531	8866768
6.950000	8551421	8866587
6.966667	8551332	8866351
6.983333	8551254	8866149
7.000000	8551157	8865943
7.016667	8551143	8865699
7.033333	8551066	8865495
7.050000	8550931	8865217
7.066667	8550957	8865079
7.083333	8550876	8864822
7.100000	8550766	8864641
7.116667	8550709	8864458
7.133333	8550710	8864214
7.150000	8550585	8864027
7.166667	8550486	8863854
7.183333	8550412	8863641
7.200000	8550379	8863336
7.216667	8550285	8863196
7.233333	8550235	8862958
7.250000	8550171	8862793
7.266667	8550083	8862604
7.283333	8550045	8862401
7.300000	8549885	8862231
7.316667	8549860	8861994
7.333333	8549793	8861799
7.350000	8549787	8861587
7.366667	8549643	8861415
7.383333	8549610	8861216
7.400000	8549517	8861002
7.416667	8549506	8860816
7.433333	8549407	8860597
7.450000	8549287	8860406
7.466667	8549307	8860188
7.483333	8549197	8860003
7.500000	8549145	8859806
7.516667	8549070	8859623
7.533333	8548969	8859394
7.550000	8548967	8859217
7.566667	8548821	8859016
7.583333	8548827	8858854
7.600000	8548702	8858662
7.616667	8548674	8858405
7.633333	8548594	8858282
7.650000	8548535	8858059
7.666667	8548443	8857875
7.683333	8548415	8857666
7.700000	8548328	8857552
7.716667	8548241	8857324
7.733333	8548175	8857177
7.750000	8548064	8856940
7.766667	8548097	8856688
7.783333	8547980	8856612
7.800000	8547919	8856380
7.816667	8547804	8856202
7.833333	8547752	8855962
7.850000	8547717	8855850
7.866667	8547641	8855634
7.883333	8547637	8855475
7.900000	8547531	8855354
7.916667	8547388	8855133
7.933333	8547440	8854899
7.950000	8547351	8854697
7.966667	8547249	8854501
7.983333	8547192	8854431
8.000000	8547123	8854199
8.016667	8547009	8854016
8.033333	8547007	8853856
8.050000	8546869	8853656
8.066667	8546892	8853508
8.083333	8546804	8853358
8.100000	8546785	8853156
8.116667	8546686	8852982
8.133333	8546620	8852753
8.150000	8546560	8852666
8.166667	8546491	8852471
8.183333	8546482	8852275
8.200000	8546370	8852131
8.216667	8546269	8851922
8.233333	8546188	8851766
8.250000	8546206	8851650
8.266667	8546042	8851392
8.283333	8545995	8851285
8.300000	8545977	8851063
8.316667	8545866	8850895
8.333333	8545851	8850717
8.350000	8545784	8850538
8.366667	8545741	8850458
8.383333	8545683	8850262
8.400000	8545576	8850106
8.416667	8545558	8849948
8.433333	8545507	8849732
8.450000	8545404	8849586
8.466667	8545406	8849413
8.483333	8545307	8849312
8.500000	8545209	8849104
8.516667	8545179	8848876
8.533333	8545129	8848781
8.550000	8545026	8848601
8.566667	8545006	8848448
8.583333	8544935	8848314
8.600000	8544908	8848131
8.616667	8544828	8848004
8.633333	8544761	8847814
8.650000	8544688	8847704
8.666667	8544614	8847497
8.683333	8544555	8847357
8.700000	8544539	8847222
8.716667	8544459	8847052
8.733333	8544426	8846897
