8589124	8989848
8587980	8988948
8588032	8988540
8587954	8988172
8587943	8987770
8587819	8987364
8587722	8986976
8587595	8986646
8587443	8986301
8587336	8985950
8587227	8985575
8587104	8985162
8586995	8984774
8586929	8984442
8586774	8984040
8586669	8983676
8586611	8983350
8586467	8982988
8586359	8982645
8586259	8982273
8586105	8981933
8586017	8981570
8585937	8981245
8585776	8980942
8585728	8980547
8585610	8980275
8585465	8979886
8585399	8979562
8585293	8979181
8585189	8978861
8585082	8978514
8584992	8978158
8584888	8977852
8584819	8977514
8584715	8977144
8584584	8976802
8584565	8976482
8584355	8976132
8584224	8975784
8584223	8975453
8584143	8975047
8584028	8974820
8583860	8974420
8583804	8974133
8583740	8973774
8583649	8973452
8583505	8973084
8583431	8972755
8583315	8972431
8583274	8972081
8583118	8971802
8583046	8971462
8582892	8971136
8582837	8970798
8582837	8970434
8582679	8970134
8582567	8969793
8582498	8969462
8582410	8969163
8582291	8968743
8582143	8968424
8582055	8968150
8581979	8967758
8581886	8967451
8581767	8967061
8581798	8966817
8581585	8966516
8581499	8966141
8581417	8965812
8581338	8965462
8581241	8965196
8581128	8964833
8581050	8964499
8580937	8964208
8580845	8963855
8580722	8963520
8580656	8963211
8580566	8962898
8580500	8962568
8580424	8962258
8580298	8961987
8580230	8961609
8580018	8961283
8580003	8960944
8579894	8960623
8579786	8960287
8579735	8960022
8579642	8959650
8579578	8959359
8579442	8959042
8579389	8958748
8579240	8958403
8579154	8958061
8579000	8957749
8578905	8957365
8578872	8957097
8578803	8956754
8578646	8956427
8578566	8956136
8578500	8955825
8578365	8955522
8578228	8955170
8578173	8954857
8578088	8954531
8577936	8954205
8577838	8953835
8577794	8953543
8577702	8953235
8577552	8952935
8577485	8952561
8577305	8952293
8577233	8951913
8577164	8951611
8577041	8951302
8576927	8951024
8576859	8950659
8576770	8950345
8576699	8950061
8576528	8949688
8576410	8949410
8576279	8949050
8576210	8948698
8576070	8948429
8576015	8948124
8575949	8947716
8575805	8947376
8575708	8947086
8575606	8946691
8575518	8946380
8575461	8946118
