8590602	8814653
8590451	8814444
8590417	8814316
8590290	8814127
8590221	8813908
8590088	8813781
8589963	8813583
8589864	8813407
8589825	8813244
8589687	8813061
8589634	8812922
8589484	8812719
8589456	8812515
8589373	8812419
8589294	8812227
8589139	8812037
8589108	8811840
8588961	8811683
8588856	8811518
8588813	8811354
8588698	8811181
8588608	8811027
8588552	8810856
8588414	8810609
8588359	8810527
8588288	8810278
8588127	8810056
8588097	8809927
8587926	8809805
8587893	8809595
8587747	8809384
8587696	8809171
8587629	8809078
8587491	8808905
8587474	8808675
8587388	8808563
8587248	8808291
8587140	8808190
8587060	8807992
8587035	8807842
8586907	8807676
8586783	8807496
8586731	8807377
8586607	8807176
8586544	8807005
8586498	8806833
8586345	8806674
8586246	8806548
8586219	8806333
8586134	8806192
8586075	8806056
8585995	8805866
8585897	8805759
8585808	8805574
8585732	8805368
8585626	8805197
8585533	8805053
8585449	8804906
8585419	8804768
8585346	8804566
8585295	8804407
8585099	8804189
8585031	8804058
8584988	8803935
8584930	8803705
8584849	8803570
8584792	8803424
8584534	8803227
8584600	8803074
8584485	8802925
8584407	8802799
8584382	8802584
8584261	8802454
8584158	8802285
8584081	8802108
8583982	8801931
8583932	8801801
8583860	8801649
8583767	8801468
8583662	8801313
8583654	8801102
8583516	8800923
8583417	8800784
8583313	8800612
8583309	8800513
8583192	8800329
8583099	8800165
8583041	8799906
8582929	8799768
8582865	8799675
8582755	8799486
8582711	8799328
8582581	8799154
8582498	8799041
8582479	8798827
8582374	8798691
8582316	8798534
8582191	8798364
8582029	8798216
8582016	8798051
8581935	8797886
8581816	8797688
8581744	8797587
8581657	8797371
8581591	8797235
8581517	8797089
8581448	8796901
8581347	8796783
8581282	8796573
8581185	8796447
8581118	8796210
8581081	8796149
8580993	8795951
8580851	8795747
8580822	8795633
8580708	8795477
8580655	8795323
8580588	8795155
8580473	8794938
8580463	8794823
8580266	8794637
8580268	8794532
8580192	8794333
8580113	8794212
8580005	8794088
8579949	8793894
8579860	8793799
8579768	8793574
8579712	8793467
8579599	8793246
8579575	8793061
8579485	8792909
8579490	8792727
8579375	8792585
8579283	8792463
8579147	8792296
8579104	8792163
8579090	8791978
8579022	8791842
8578902	8791658
8578891	8791498
8578788	8791387
8578700	8791226
8578575	8791073
8578492	8790880
8578477	8790755
8578405	8790620
8578294	8790476
8578248	8790263
8578145	8790137
8578168	8789986
8578046	8789860
8577999	8789689
8577941	8789580
8577879	8789409
8577788	8789276
8577741	8789123
8577649	8788967
8577571	8788804
8577482	8788720
8577394	8788496
8577392	8788358
8577318	8788229
8577280	8788085
8577206	8787942
8577104	8787784
8577029	8787653
8576939	8787505
8576871	8787329
8576785	8787228
8576711	8787012
8576692	8786934
8576642	8786811
8576556	8786603
8576515	8786474
8576452	8786294
8576413	8786185
8576278	8786021
8576295	8785871
8576242	8785788
8576125	8785555
8576028	8785450
8575998	8785311
8575901	8785062
8575811	8785004
8575768	8784843
8575683	8784671
8575633	8784552
8575552	8784430
8575526	8784239
8575456	8784096
8575337	8783986
8575327	8783812
8575225	8783696
8575230	8783525
8575054	8783426
8575042	8783293
8574969	8783139
8574916	8782972
8574881	8782917
8574797	8782683
8574758	8782525
8574710	8782436
8574648	8782318
8574485	8782076
8574517	8782027
8574467	8781888
8574334	8781699
8574351	8781592
8574252	8781440
8574232	8781286
8574157	8781172
8574037	8781071
8574000	8780959
8573878	8780797
8573882	8780599
8573831	8780485
8573740	8780328
8573622	8780238
8573641	8780042
8573587	8779956
8573541	8779786
8573428	8779653
8573405	8779563
8573356	8779371
8573259	8779278
8573236	8779176
